year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,be_ppm,VADM,solar_modulation
-740000,-3.559,187.52,-2.106,0.011,0.418,2.767,499.291,341.972,4.179,1.478,0.506
-738000,-4.005,184.8,-2.185,0.013,0.417,3.462,505.46,341.979,4.085,1.506,0.504
-736000,-4.452,201.06,-1.733,0.015,0.414,4.134,510.612,341.988,3.992,1.501,0.501
-734000,-4.899,215.718,-1.357,0.017,0.411,4.79,511.6,341.999,3.898,1.441,0.499
-732000,-4.801,210.645,-1.484,0.019,0.407,5.437,503.991,342.01,3.805,1.448,0.497
-730000,-4.704,212.017,-1.45,0.021,0.404,6.078,490.633,342.022,3.711,1.466,0.495
-728000,-4.606,210.855,-1.479,0.022,0.4,0.429,473.905,342.036,3.617,1.452,0.491
-726000,-4.509,210.155,-1.497,0.024,0.397,1.06,459.329,342.05,3.524,1.32,0.487
-724000,-4.411,211.12,-1.472,0.026,0.395,1.687,453.828,342.064,3.43,1.222,0.482
-722000,-4.314,212.89,-1.428,0.027,0.394,2.312,457.067,342.079,3.337,1.199,0.478
-720000,-4.216,218.087,-1.299,0.029,0.395,2.932,471.254,342.093,3.243,1.268,0.477
-718000,-4.119,209.963,-1.502,0.03,0.396,3.549,489.726,342.106,3.149,1.39,0.476
-716000,-4.021,193.923,-1.927,0.031,0.399,4.163,506.457,342.119,3.056,1.424,0.475
-714000,-3.924,218.708,-1.283,0.033,0.402,4.772,516.571,342.132,2.962,1.477,0.474
-712000,-4.179,226.203,-1.103,0.034,0.405,5.375,513.924,342.144,2.869,1.649,0.473
-710000,-4.152,224.602,-1.141,0.035,0.409,5.971,503.022,342.156,2.775,1.688,0.471
-708000,-4.552,230.952,-0.992,0.036,0.412,2.375,486.582,342.167,2.682,1.618,0.465
-706000,-4.382,234.763,-0.904,0.036,0.415,0.869,471.822,342.177,2.588,1.463,0.457
-704000,-4.11,236.012,-0.876,0.037,0.417,1.451,466.047,342.185,2.494,1.311,0.448
-702000,-3.81,232.518,-0.956,0.038,0.418,2.032,469.223,342.193,2.401,1.204,0.439
-700000,-3.487,232.62,-0.953,0.038,0.418,2.611,483.963,342.199,2.307,1.109,0.428
-698000,-3.389,238.023,-0.831,0.039,0.417,3.191,503.707,342.204,2.214,0.984,0.417
-696000,-3.353,240.25,-0.781,0.039,0.415,3.77,522.417,342.207,2.12,0.938,0.41
-694000,-3.379,238.304,-0.824,0.039,0.413,4.35,534.518,342.209,2.144,0.912,0.408
-692000,-3.653,239.84,-0.79,0.039,0.411,4.933,532.056,342.21,2.168,0.944,0.412
-690000,-3.742,239.99,-0.787,0.039,0.408,5.515,518.727,342.21,2.192,1.053,0.418
-688000,-4.191,233.452,-0.934,0.039,0.405,4.006,495.512,342.208,2.216,1.169,0.425
-686000,-4.345,225.538,-1.119,0.039,0.403,0.403,471.313,342.205,2.24,1.21,0.427
-684000,-4.727,221.422,-1.217,0.038,0.401,0.99,454.153,342.2,2.237,1.151,0.428
-682000,-5.343,223.235,-1.174,0.038,0.4,1.578,446.26,342.195,2.235,1.164,0.427
-680000,-6.223,223.54,-1.166,0.037,0.399,2.165,452.837,342.186,2.232,1.164,0.427
-678000,-5.338,232.145,-0.964,0.036,0.399,2.753,467.909,342.177,2.23,1.164,0.426
-676000,-5.783,218.712,-1.283,0.036,0.4,3.337,488.37,342.167,2.227,1.133,0.423
-674000,-5.341,216.793,-1.33,0.035,0.401,3.921,507.148,342.155,2.224,1.007,0.421
-672000,-6.325,202.895,-1.685,0.034,0.403,4.503,516.874,342.142,2.222,1.01,0.421
-670000,-6.862,195.908,-1.872,0.032,0.405,5.081,517.821,342.129,2.219,1.145,0.424
-668000,-6.556,189.585,-2.048,0.031,0.407,5.653,508.391,342.115,2.217,1.215,0.428
-666000,-7.163,177.363,-2.404,0.03,0.41,6.219,495.232,342.1,2.214,1.247,0.431
-664000,-8.648,178.493,-2.37,0.028,0.412,0.497,483.019,342.084,2.211,1.403,0.436
-662000,-8.17,190.447,-2.024,0.026,0.413,1.051,475.095,342.069,2.209,1.594,0.441
-660000,-7.251,192.004,-1.98,0.025,0.414,1.595,475.135,342.054,2.206,1.79,0.445
-658000,-7.995,187.163,-2.117,0.023,0.415,2.129,480.169,342.039,2.204,1.813,0.447
-656000,-8.469,189.285,-2.056,0.021,0.414,2.652,489.018,342.025,2.201,1.805,0.448
-654000,-7.696,200.175,-1.757,0.019,0.413,3.162,497.786,342.012,2.198,1.872,0.448
-652000,-7.82,193.845,-1.929,0.017,0.411,3.647,503.278,342.002,2.196,1.833,0.447
-650000,-8.469,187.03,-2.12,0.016,0.409,4.112,505.427,341.993,2.193,1.736,0.445
-648000,-7.91,192.953,-1.954,0.015,0.406,4.548,503.471,341.986,2.191,1.69,0.445
-646000,-7.743,192.665,-1.962,0.014,0.404,4.961,499.62,341.983,2.188,1.794,0.445
-644000,-7.573,192.855,-1.956,0.014,0.401,5.353,494.483,341.981,2.185,1.832,0.446
-642000,-7.437,195.31,-1.889,0.014,0.4,5.748,488.975,341.983,2.183,1.822,0.447
-640000,-8.195,191.47,-1.995,0.015,0.399,4.068,482.897,341.988,2.18,1.837,0.446
-638000,-8.372,189.515,-2.05,0.016,0.399,0.319,476.425,341.995,2.178,1.791,0.444
-636000,-8.237,195.33,-1.888,0.018,0.4,0.791,470.474,342.006,2.175,1.65,0.443
-634000,-8.428,194.43,-1.913,0.02,0.402,1.283,466.34,342.019,2.172,1.704,0.442
-632000,-8.715,194.525,-1.91,0.022,0.405,1.804,467.462,342.034,2.17,1.715,0.442
-630000,-8.67,198.48,-1.803,0.024,0.408,2.334,473.924,342.052,2.167,1.612,0.44
-628000,-8.826,201.857,-1.712,0.027,0.41,2.878,487.926,342.072,2.165,1.571,0.438
-626000,-6.983,210.735,-1.482,0.029,0.413,3.426,505.504,342.094,2.162,1.554,0.437
-624000,-4.796,231.765,-0.973,0.031,0.415,3.982,522.616,342.116,2.159,1.519,0.436
-622000,-3.441,240.337,-0.779,0.033,0.416,4.542,534.49,342.14,2.157,1.471,0.434
-620000,-2.799,243.53,-0.708,0.035,0.417,5.105,533.62,342.164,2.154,1.38,0.43
-618000,-2.852,247.09,-0.631,0.037,0.416,5.671,522.282,342.188,2.152,1.235,0.427
-616000,-2.601,252.64,-0.512,0.039,0.414,4.147,500.218,342.211,2.149,1.235,0.425
-614000,-2.49,252.793,-0.509,0.041,0.412,0.533,475.873,342.233,2.146,1.274,0.426
-612000,-3.069,256.19,-0.437,0.042,0.409,1.111,457.378,342.253,2.144,1.286,0.426
-610000,-3.53,258.547,-0.388,0.043,0.406,1.693,448.194,342.271,2.141,1.26,0.426
-608000,-4.108,258.48,-0.389,0.044,0.403,2.281,454.722,342.287,2.139,1.272,0.426
-606000,-4.667,254.58,-0.471,0.045,0.4,2.871,471.129,342.301,2.136,1.339,0.427
-604000,-4.599,246.505,-0.643,0.046,0.398,3.463,494.166,342.312,2.133,1.317,0.427
