year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation
-740000,-3.559,187.52,-2.106,0.011,0.418,2.767,499.291,341.972
-738000,-4.005,184.8,-2.185,0.013,0.417,3.462,505.46,341.979
-736000,-4.452,201.06,-1.733,0.015,0.414,4.134,510.612,341.988
-734000,-4.899,215.718,-1.357,0.017,0.411,4.79,511.6,341.999
-732000,-4.801,210.645,-1.484,0.019,0.407,5.437,503.991,342.01
-730000,-4.704,212.017,-1.45,0.021,0.404,6.078,490.633,342.022
-728000,-4.606,210.855,-1.479,0.022,0.4,0.429,473.905,342.036
-726000,-4.509,210.155,-1.497,0.024,0.397,1.06,459.329,342.05
-724000,-4.411,211.12,-1.472,0.026,0.395,1.687,453.828,342.064
-722000,-4.314,212.89,-1.428,0.027,0.394,2.312,457.067,342.079
-720000,-4.216,218.087,-1.299,0.029,0.395,2.932,471.254,342.093
-718000,-4.119,209.963,-1.502,0.03,0.396,3.549,489.726,342.106
-716000,-4.021,193.923,-1.927,0.031,0.399,4.163,506.457,342.119
-714000,-3.924,218.708,-1.283,0.033,0.402,4.772,516.571,342.132
-712000,-4.179,226.203,-1.103,0.034,0.405,5.375,513.924,342.144
-710000,-4.152,224.602,-1.141,0.035,0.409,5.971,503.022,342.156
-708000,-4.552,230.952,-0.992,0.036,0.412,2.375,486.582,342.167
-706000,-4.382,234.763,-0.904,0.036,0.415,0.869,471.822,342.177
-704000,-4.11,236.012,-0.876,0.037,0.417,1.451,466.047,342.185
-702000,-3.81,232.518,-0.956,0.038,0.418,2.032,469.223,342.193
-700000,-3.487,232.62,-0.953,0.038,0.418,2.611,483.963,342.199
-698000,-3.389,238.023,-0.831,0.039,0.417,3.191,503.707,342.204
-696000,-3.353,240.25,-0.781,0.039,0.415,3.77,522.417,342.207
-694000,-3.379,238.304,-0.824,0.039,0.413,4.35,534.518,342.209
-692000,-3.653,239.84,-0.79,0.039,0.411,4.933,532.056,342.21
-690000,-3.742,239.99,-0.787,0.039,0.408,5.515,518.727,342.21
-688000,-4.191,233.452,-0.934,0.039,0.405,4.006,495.512,342.208
-686000,-4.345,225.538,-1.119,0.039,0.403,0.403,471.313,342.205
-684000,-4.727,221.422,-1.217,0.038,0.401,0.99,454.153,342.2
-682000,-5.343,223.235,-1.174,0.038,0.4,1.578,446.26,342.195
-680000,-6.223,223.54,-1.166,0.037,0.399,2.165,452.837,342.186
-678000,-5.338,232.145,-0.964,0.036,0.399,2.753,467.909,342.177
-676000,-5.783,218.712,-1.283,0.036,0.4,3.337,488.37,342.167
-674000,-5.341,216.793,-1.33,0.035,0.401,3.921,507.148,342.155
-672000,-6.325,202.895,-1.685,0.034,0.403,4.503,516.874,342.142
-670000,-6.862,195.908,-1.872,0.032,0.405,5.081,517.821,342.129
-668000,-6.556,189.585,-2.048,0.031,0.407,5.653,508.391,342.115
-666000,-7.163,177.363,-2.404,0.03,0.41,6.219,495.232,342.1
-664000,-8.648,178.493,-2.37,0.028,0.412,0.497,483.019,342.084
-662000,-8.17,190.447,-2.024,0.026,0.413,1.051,475.095,342.069
-660000,-7.251,192.004,-1.98,0.025,0.414,1.595,475.135,342.054
