year_bin,anomaly,co2_ppm,co2_radiative_forcing,eccentricity,obliquity,perihelion,insolation,global_insolation,solar_modulation
-7400,0.036,263.8,-0.28,0.019,0.422,5.902,514.692,342.012,210.5
-7350,-0.309,263.7,-0.283,0.019,0.422,5.917,514.384,342.012,275.0
-7300,-0.112,263.133,-0.294,0.019,0.422,5.931,514.076,342.012,186.5
-7250,0.101,262.567,-0.306,0.019,0.422,5.946,513.768,342.012,323.5
-7200,-0.009,262.0,-0.317,0.019,0.422,5.96,513.46,342.012,333.333
-7150,-0.101,260.65,-0.345,0.019,0.422,5.975,513.152,342.012,315.0
-7100,-0.2,259.3,-0.373,0.019,0.422,5.99,512.844,342.011,309.0
-7050,-0.176,260.4,-0.35,0.019,0.422,6.004,512.536,342.011,147.5
-7000,-0.023,260.65,-0.345,0.019,0.422,6.019,512.228,342.011,145.333
-6950,-0.265,260.9,-0.34,0.019,0.422,5.719,511.89,342.011,337.5
-6900,-0.179,259.95,-0.359,0.019,0.422,5.419,511.553,342.011,365.0
-6850,-0.032,259.0,-0.379,0.019,0.422,5.12,511.215,342.011,486.0
-6800,-0.125,260.4,-0.35,0.019,0.422,4.82,510.877,342.011,424.333
-6750,-0.097,261.8,-0.321,0.019,0.421,4.52,510.539,342.011,463.5
-6700,-0.013,261.433,-0.329,0.019,0.421,4.22,510.201,342.011,442.5
-6650,-0.382,261.067,-0.336,0.019,0.421,3.921,509.864,342.011,287.0
-6600,0.012,260.7,-0.344,0.019,0.421,3.621,509.526,342.011,235.333
-6550,0.008,261.0,-0.338,0.019,0.421,3.321,509.188,342.011,339.0
-6500,0.009,261.3,-0.331,0.019,0.421,3.022,508.85,342.011,267.0
-6450,-0.078,259.8,-0.362,0.019,0.421,2.722,508.512,342.011,134.333
-6400,-0.223,258.3,-0.393,0.019,0.421,2.422,508.175,342.011,44.0
-6350,0.068,258.633,-0.386,0.019,0.421,2.122,507.837,342.011,126.5
-6300,0.238,258.967,-0.379,0.019,0.421,1.823,507.499,342.01,303.5
-6250,-0.558,259.3,-0.373,0.019,0.421,1.523,507.161,342.01,313.333
-6200,-0.178,259.45,-0.369,0.019,0.421,1.223,506.823,342.01,156.0
-6150,-0.004,259.6,-0.366,0.019,0.421,0.924,506.485,342.01,276.0
-6100,0.165,260.2,-0.354,0.019,0.421,0.624,506.148,342.01,282.667
-6050,0.192,260.8,-0.342,0.019,0.421,0.324,505.81,342.01,235.0
-6000,0.293,259.2,-0.375,0.019,0.421,0.025,505.472,342.01,96.5
-5950,0.238,259.45,-0.369,0.019,0.421,0.039,505.127,342.01,192.5
-5900,0.408,259.7,-0.364,0.019,0.421,0.054,504.782,342.01,168.0
-5850,0.164,259.933,-0.359,0.019,0.42,0.068,504.437,342.01,277.5
-5800,0.16,260.167,-0.355,0.019,0.42,0.083,504.092,342.01,298.0
-5750,0.416,260.4,-0.35,0.019,0.42,0.097,503.747,342.01,291.5
-5700,-0.011,260.1,-0.356,0.019,0.42,0.112,503.402,342.01,157.667
-5650,0.402,259.533,-0.368,0.019,0.42,0.126,503.057,342.009,142.0
-5600,0.168,258.967,-0.379,0.019,0.42,0.141,502.712,342.009,81.5
-5550,0.189,258.4,-0.391,0.019,0.42,0.156,502.367,342.009,159.0
-5500,0.403,259.55,-0.367,0.019,0.42,0.17,502.022,342.009,128.667
-5450,0.207,260.7,-0.344,0.019,0.42,0.185,501.677,342.009,4.5
-5400,0.024,261.467,-0.328,0.019,0.42,0.199,501.332,342.009,213.5
-5350,0.123,262.233,-0.312,0.019,0.42,0.214,500.987,342.009,132.0
-5300,-0.116,263.0,-0.297,0.019,0.42,0.228,500.642,342.009,62.0
-5250,-0.019,262.3,-0.311,0.019,0.42,0.243,500.297,342.009,129.5
-5200,-0.102,260.733,-0.343,0.019,0.42,0.257,499.952,342.009,86.5
-5150,0.063,259.167,-0.375,0.018,0.419,0.272,499.607,342.009,243.0
-5100,0.164,257.6,-0.408,0.018,0.419,0.286,499.262,342.008,338.5
-5050,0.182,257.85,-0.403,0.018,0.419,0.301,498.917,342.008,285.0
-5000,0.154,258.1,-0.397,0.018,0.419,0.316,498.573,342.008,185.333
-4950,-0.099,262.9,-0.299,0.018,0.419,0.33,498.242,342.008,182.0
-4900,-0.177,262.633,-0.304,0.018,0.419,0.345,497.912,342.008,264.0
